date,channel_id,video_id,video_thumbnail_impressions,video_thumbnail_impressions_ctr
2026-08-12,UCFFY072qzjDnmC_uA65zhQQ,P5J1t9IV9xE,184,0.005434782608695652
2026-08-13,UCFFY072qzjDnmC_uA65zhQQ,P5J1t9IV9xE,142,0
2026-08-14,UCFFY072qzjDnmC_uA65zhQQ,NNKboIXrIYk,677,0.019202363367799114
2026-08-14,UCFFY072qzjDnmC_uA65zhQQ,P5J1t9IV9xE,62,0.016129032258064516
2026-08-15,UCFFY072qzjDnmC_uA65zhQQ,NNKboIXrIYk,1207,0.014913007456503728
2026-08-15,UCFFY072qzjDnmC_uA65zhQQ,P5J1t9IV9xE,9,0
2026-08-16,UCFFY072qzjDnmC_uA65zhQQ,NNKboIXrIYk,184,0.032608695652173912
2026-08-16,UCFFY072qzjDnmC_uA65zhQQ,P5J1t9IV9xE,8,0
2026-08-16,UCFFY072qzjDnmC_uA65zhQQ,cV2OR1RSz8o,188,0.0053191489361702126
2026-08-17,UCFFY072qzjDnmC_uA65zhQQ,NNKboIXrIYk,93,0.032258064516129031
2026-08-17,UCFFY072qzjDnmC_uA65zhQQ,P5J1t9IV9xE,19,0.15789473684210525
2026-08-17,UCFFY072qzjDnmC_uA65zhQQ,cV2OR1RSz8o,186,0.0053763440860215058
2026-08-18,UCFFY072qzjDnmC_uA65zhQQ,NNKboIXrIYk,289,0.038062283737024222
2026-08-18,UCFFY072qzjDnmC_uA65zhQQ,P5J1t9IV9xE,10,0
2026-08-18,UCFFY072qzjDnmC_uA65zhQQ,WmZQp0iNKWU,142,0.021126760563380281
2026-08-18,UCFFY072qzjDnmC_uA65zhQQ,cV2OR1RSz8o,86,0.046511627906976744
2026-08-19,UCFFY072qzjDnmC_uA65zhQQ,NNKboIXrIYk,690,0.037681159420289857
2026-08-19,UCFFY072qzjDnmC_uA65zhQQ,P5J1t9IV9xE,11,0.090909090909090912
2026-08-19,UCFFY072qzjDnmC_uA65zhQQ,UsalZgg_xrc,51,0
2026-08-19,UCFFY072qzjDnmC_uA65zhQQ,WmZQp0iNKWU,60,0.016666666666666666
2026-08-19,UCFFY072qzjDnmC_uA65zhQQ,cV2OR1RSz8o,107,0.018691588785046728
